,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
10837,hoach,N,5,"['ho', 'a', 'ch']",2,0.4
10838,hoaf,N,4,"['ho', 'a', 'f']",2,0.25
10839,hoal,N,4,"['ho', 'al']",1,0.5
10840,hoaled,N,6,"['ho', 'al', 'e', 'd']",3,0.33
10841,hoals,N,5,"['ho', 'al', 's']",2,0.4
10842,hoans,N,5,"['ho', 'an', 's']",2,0.4
10843,hoap,N,4,"['ho', 'a', 'p']",2,0.25
10844,hoaps,N,5,"['ho', 'a', 'p', 's']",3,0.2
10845,hoarboom,N,8,"['ho', 'ar', 'bo', 'om']",3,0.5
10846,hoarer,N,6,"['ho', 'ar', 'er']",2,0.5
10847,hoaring,N,7,"['ho', 'ar', 'ing']",2,0.57
10848,hoars,N,5,"['ho', 'ar', 's']",2,0.4
10849,hoast,N,5,"['ho', 'a', 's', 't']",3,0.2
10850,hoat,N,4,"['ho', 'a', 't']",2,0.25
10851,hoatful,N,7,"['ho', 'a', 't', 'f', 'u', 'l']",5,0.14
10852,hoathe,N,6,"['ho', 'a', 'the']",2,0.5
10853,hoathing,N,8,"['ho', 'a', 'th', 'ing']",3,0.5
10854,hoaths,N,6,"['ho', 'a', 'th', 's']",3,0.33
10855,hoats,N,5,"['ho', 'a', 't', 's']",3,0.2
10856,hoaxy,N,5,"['ho', 'a', 'x', 'y']",3,0.2
10857,hobaurs,N,7,"['ho', 'ba', 'ur', 's']",3,0.43
10858,hobbed,N,6,"['ho', 'b', 'be', 'd']",3,0.33
10859,hobdabs,N,7,"['ho', 'b', 'd', 'a', 'b', 's']",5,0.14
10860,hobdanced,N,9,"['ho', 'b', 'd', 'ance', 'd']",4,0.44
10861,hobdouse,N,8,"['ho', 'b', 'd', 'ou', 's', 'e']",5,0.25
10862,hobed,N,5,"['ho', 'be', 'd']",2,0.4
10863,hobnorms,N,8,"['ho', 'b', 'n', 'or', 'm', 's']",5,0.25
10864,hobstate,N,8,"['ho', 'b', 'state']",2,0.62
10865,hobstates,N,9,"['ho', 'b', 'state', 's']",3,0.56
10866,hobtot,N,6,"['ho', 'b', 'to', 't']",3,0.33
10867,hobved,N,6,"['ho', 'b', 've', 'd']",3,0.33
10868,hocker,N,6,"['ho', 'ck', 'er']",2,0.5
10869,hockle,N,6,"['ho', 'ck', 'le']",2,0.5
10870,hocky,N,5,"['ho', 'ck', 'y']",2,0.4
10871,hoction,N,7,"['ho', 'c', 'tion']",2,0.57
10872,hoctions,N,8,"['ho', 'c', 'tion', 's']",3,0.5
10873,hoddled,N,7,"['ho', 'd', 'd', 'le', 'd']",4,0.29
10874,hoddles,N,7,"['ho', 'd', 'd', 'les']",3,0.43
10875,hoddling,N,8,"['ho', 'd', 'd', 'l', 'ing']",4,0.38
10876,hodes,N,5,"['ho', 'de', 's']",2,0.4
10877,hodging,N,7,"['ho', 'd', 'g', 'ing']",3,0.43
10878,hoenay,N,6,"['ho', 'en', 'a', 'y']",3,0.33
10879,hoep,N,4,"['ho', 'e', 'p']",2,0.25
10880,hoer,N,4,"['ho', 'er']",1,0.5
10881,hoesage,N,7,"['ho', 'e', 's', 'age']",3,0.43
10882,hoesy,N,5,"['ho', 'e', 's', 'y']",3,0.2
10883,hoflen,N,6,"['ho', 'f', 'l', 'en']",3,0.33
10884,hoft,N,4,"['ho', 'f', 't']",2,0.25
10885,hoftaves,N,8,"['ho', 'f', 't', 'a', 've', 's']",5,0.25
